Date	Type	Raion	Location	Name	Question	TypeQuestion	Answer
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Success stories (max. 1000 symbols)	textaria	Programa NOVATECA a schimbat radical activitatea bibliotecii noastre.Au fost mai multe istorii de success.Iata una din ele.Vestea, ca in biblioteca noastra se poate accesa servicii online la calculator a trecut si hotarele comunitatii.Din satul vecin Baimaclia a venit o doamna sa vorbeasca prin SKUPE cu copii, care muncesc la Moscova.La prima convorbire a fost foarte emotionata. Imi spunea, ca nu poate vorbi cu copiii prin telefon deoarece duce o lipsa acuta de bani.Dar aici cu ajutorul acestei programe vorbeste gratis si le vede si chipul.\n  Un alt success: calculatoarele ne-au adus bineficiari trecuti de prima tinerete,mai ales doamne. Cu dinsele am deschis clubul: “Femeele moderne” Discutam pe diferite teme: medicina,educatie,muzica… Aparitia calculatoarelor le-a schimbat si lor viata. Au unde sa-si petreaca timpul liber. Deoarece la tara nu prea ai de ales in aceasta privinta.
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Upload photos	file	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Upload other documents	file	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Success stories	textaria	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Upload photos	file	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Upload other documents	file	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Upload photos	file	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Upload other documents	file	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Success stories	textaria	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Add a question	textaria	
2014-01-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Add a feedback	textaria	
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of all new unique users to library 	numeric	70
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of registered/unique users of each gender (female) 	numeric	43
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of registered/unic users of each gender (male)	numeric	27
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	0-16 years	numeric	55
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	17-30 year	numeric	14
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	31-57 year	numeric	1
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	58 - ... year	numeric	
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of physical visits during this month 	numeric	331
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Does your library have a web page either on your own site or on social media?	dropdown	Yes
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	If answered yes to previous question, indicate number of visits.	numeric	134
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of unique individuals using Novateca workstations 	numeric	204
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Number of unique individuals using  non-Novateca workstations 	numeric	0
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of loans of library materials 	numeric	1237
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Total number of event visitors/persons	numeric	260
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	New services and activities, including on computers  	textaria	SCUPE-60                                                  vizionari de filme-12                                    informatii in agutor programei scolare-145             audieri muzicale-36                                        tehnologii agricole-7                                    materiale educationale,maturi-68                         alte servicii-13
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	How many people work in the library? Please include all staff members (librarians & support).	numeric	2
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Did you library receive any technology donations (e.g. hardware, software)? Do not include Novateca.	dropdown	Nu
2014-02-01	rural	Causeni	Taraclia	Biblioteca Publica de Copii Taraclia	Did your library have any volunteers that help with your work?	dropdown	Yes
